Model,Successful Queries,Attempted Queries,Mean ROUGE-L,Mean BERTScore,Mean Grounding F1,Mean Embedding Cosine
gemini-2.5-flash,5,5,0.0000,0.6737,0.0825,0.2499
deepseek-v4-flash,5,5,0.0000,0.6806,0.0233,0.2120
